trial,start_date,end_date,days,r2,delta_r2,sse,denominator,rows,epoch
online,1220,1239,20,0.02667957406800603,-0.000590141147282286,545263.3744074928,560209.5259486422,751168,4
frozen,1240,1259,20,0.016230995293418427,0.0,542590.4522586393,551542.5365738901,735680,4
online,1240,1259,20,0.01731865437845781,0.001087659085039383,541990.562007949,551542.5365738901,735680,4
frozen,1260,1279,20,0.020566588891173687,0.0,693311.7357460464,707870.2113716351,746328,4
online,1260,1279,20,0.024053543839257174,0.003486954948083487,690843.4242099032,707870.2113716351,746328,4
frozen,1280,1299,20,0.01881025375923595,0.0,946571.1991377857,964717.7854888797,748264,4
online,1280,1299,20,0.02478456880946933,0.005974315050233381,940807.6711527116,964717.7854888797,748264,4
frozen,1300,1319,20,0.013511163949958882,0.0,1042059.4064118996,1056331.6768838118,753104,4
online,1300,1319,20,0.01875314194395228,0.005241977993993396,1036522.1390073166,1056331.6768838118,753104,4
frozen,1320,1339,20,0.01627557982746597,0.0,1084315.9201706164,1102255.771977725,747296,4
online,1320,1339,20,0.02057265525095886,0.004297075423492891,1079579.4439824477,1102255.771977725,747296,4
frozen,1340,1359,20,0.019795812016836445,0.0,793071.2761008845,809087.8266218004,754072,4
online,1340,1359,20,0.025912679469589417,0.006116867452752972,788122.193107803,809087.8266218004,754072,4
frozen,1360,1379,20,0.02053066307201068,0.0,1337065.0562372305,1365091.2854819994,746328,4
online,1360,1379,20,0.027493055766435903,0.0069623926944252235,1327560.7546439671,1365091.2854819994,746328,4
frozen,1180,1199,20,0.019780923032843845,0.0,1709100.4757898645,1743590.301341514,743424,5
online,1180,1199,20,0.02221533594460956,0.0024344129117657154,1704855.8570474493,1743590.301341514,743424,5
frozen,1200,1219,20,0.022172713538525568,0.0,1649727.3450963951,1687135.7221645634,731808,5
online,1200,1219,20,0.024628119863323694,0.002455406324798126,1645584.7413733993,1687135.7221645634,731808,5
frozen,1220,1239,20,0.027704030740863583,0.0,544689.4640204364,560209.5259486422,751168,5
online,1220,1239,20,0.027945610907190277,0.00024158016632669366,544554.1285099799,560209.5259486422,751168,5
frozen,1240,1259,20,0.018642401933926744,0.0,541260.4589234221,551542.5365738901,735680,5
online,1240,1259,20,0.01787370076356054,-0.0007687011703662039,541684.4303167933,551542.5365738901,735680,5
frozen,1260,1279,20,0.020387466183069858,0.0,693438.5313752934,707870.2113716351,746328,5
online,1260,1279,20,0.025517205370697793,0.005129739187627935,689807.3418122658,707870.2113716351,746328,5
frozen,1280,1299,20,0.01708699520421242,0.0,948233.6573148128,964717.7854888797,748264,5
online,1280,1299,20,0.02544424094538733,0.008357245741174912,940171.2737106001,964717.7854888797,748264,5
frozen,1300,1319,20,0.012741201275933589,0.0,1042872.7423744907,1056331.6768838118,753104,5
online,1300,1319,20,0.01906545015001071,0.006324248874077121,1036192.2379563063,1056331.6768838118,753104,5
frozen,1320,1339,20,0.016148154437020668,0.0,1084456.3755427313,1102255.771977725,747296,5
online,1320,1339,20,0.021972211109827833,0.005824056672807165,1078036.775458804,1102255.771977725,747296,5
frozen,1340,1359,20,0.018842924418469575,0.0,793842.245856862,809087.8266218004,754072,5
online,1340,1359,20,0.026983948340003505,0.00814102392153393,787255.442505712,809087.8266218004,754072,5
frozen,1360,1379,20,0.02123698092531745,0.0,1336100.8678909012,1365091.2854819994,746328,5
online,1360,1379,20,0.02863748255987264,0.00740050163455519,1325998.5076013745,1365091.2854819994,746328,5
