date_id,window_start,r2,epoch,mode
1200,1181,0.02301680662318939,4,online
1201,1182,0.022107977253702504,4,online
1202,1183,0.02226473498968018,4,online
1203,1184,0.02412189644767848,4,online
1204,1185,0.023841905465833424,4,online
1205,1186,0.02261341478126544,4,online
1206,1187,0.019575161997372748,4,online
1207,1188,0.01950511969942248,4,online
1208,1189,0.0194211931165974,4,online
1209,1190,0.019270995304812355,4,online
1210,1191,0.01857445858215301,4,online
1211,1192,0.018610992070285493,4,online
1212,1193,0.01836081491646846,4,online
1213,1194,0.019271954292750415,4,online
1214,1195,0.020156069288849388,4,online
1215,1196,0.020651895551446087,4,online
1216,1197,0.021129615184884654,4,online
1217,1198,0.020181550040266005,4,online
1218,1199,0.02268213077604664,4,online
1219,1200,0.023015991765624633,4,online
1220,1201,0.021086336476271117,4,online
1221,1202,0.022046539709436153,4,online
1222,1203,0.022417045087458898,4,online
1223,1204,0.020739417178211816,4,online
1224,1205,0.02196131659817191,4,online
1225,1206,0.022412553081517017,4,online
1226,1207,0.02343485828688019,4,online
1227,1208,0.02350192547729779,4,online
1228,1209,0.02463290536480267,4,online
1229,1210,0.02583155808878035,4,online
1230,1211,0.02706955913009801,4,online
1231,1212,0.02751720332027552,4,online
1232,1213,0.028246328371554164,4,online
1233,1214,0.027129078552791674,4,online
1234,1215,0.02930461850843591,4,online
1235,1216,0.02982290346069183,4,online
1236,1217,0.03011696704219058,4,online
1237,1218,0.033386418193073863,4,online
1238,1219,0.026368713374085972,4,online
1239,1220,0.026679574068005807,4,online
1240,1221,0.029190309652853297,4,online
1241,1222,0.0282935414367379,4,online
1242,1223,0.028795653504124163,4,online
1243,1224,0.02854195742474608,4,online
1244,1225,0.028581997788966418,4,online
1245,1226,0.03059635655937354,4,online
1246,1227,0.02189917193478763,4,online
1247,1228,0.02055313895974331,4,online
1248,1229,0.01854969509328419,4,online
1249,1230,0.01773788591030534,4,online
1250,1231,0.017564253034758837,4,online
1251,1232,0.01774673244343461,4,online
1252,1233,0.017925823767599436,4,online
1253,1234,0.018211019924068705,4,online
1254,1235,0.01807492640010311,4,online
1255,1236,0.018297455980989086,4,online
1256,1237,0.018227272418407603,4,online
1257,1238,0.016981256610521078,4,online
1258,1239,0.018236995408115075,4,online
1259,1240,0.017318654378458476,4,online
1260,1241,0.017069704673797093,4,online
1261,1242,0.017268202275046107,4,online
1262,1243,0.016956848303386285,4,online
1263,1244,0.01855301789274444,4,online
1264,1245,0.01860073458362621,4,online
1265,1246,0.017903462561640326,4,online
1266,1247,0.023311541396819235,4,online
1267,1248,0.02450579397214192,4,online
1268,1249,0.026049987716910583,4,online
1269,1250,0.02545530810287544,4,online
1270,1251,0.026173485108745176,4,online
1271,1252,0.02546951428759081,4,online
1272,1253,0.025453201943265946,4,online
1273,1254,0.025916317819113743,4,online
1274,1255,0.02530038169260762,4,online
1275,1256,0.024664588189469705,4,online
1276,1257,0.024296316927427952,4,online
1277,1258,0.024226842262848658,4,online
1278,1259,0.023798692540948463,4,online
1279,1260,0.02405354383925784,4,online
1280,1261,0.02478673576680579,4,online
1281,1262,0.02497830958908631,4,online
1282,1263,0.02500752019595842,4,online
1283,1264,0.02274480560086034,4,online
1284,1265,0.022225139227052715,4,online
1285,1266,0.022277799142698895,4,online
1286,1267,0.022090950167341528,4,online
1287,1268,0.021386490396929303,4,online
1288,1269,0.022100109498743414,4,online
1289,1270,0.023314615775985814,4,online
1290,1271,0.023038411628720556,4,online
1291,1272,0.02451326767946793,4,online
1292,1273,0.025248580248558028,4,online
1293,1274,0.025032356309339643,4,online
1294,1275,0.023740370741951677,4,online
1295,1276,0.023816345292422048,4,online
1296,1277,0.024107962895509427,4,online
1297,1278,0.024254764461840606,4,online
1298,1279,0.02439066766373621,4,online
1299,1280,0.02478456880946922,4,online
1300,1281,0.022998658470211653,4,online
1301,1282,0.024522437403388886,4,online
1302,1283,0.024019683415878013,4,online
1303,1284,0.024899037175119765,4,online
1304,1285,0.02423071292270007,4,online
1305,1286,0.024121237865483702,4,online
1306,1287,0.023582681876783473,4,online
1307,1288,0.024106653542338874,4,online
1308,1289,0.02354577543029923,4,online
1309,1290,0.022684723622231173,4,online
1310,1291,0.021440366211453843,4,online
1311,1292,0.021466984218721397,4,online
1312,1293,0.021467304436177836,4,online
1313,1294,0.021100956475378463,4,online
1314,1295,0.022681536108234424,4,online
1315,1296,0.022131238022649047,4,online
1316,1297,0.0214621752353249,4,online
1317,1298,0.020493979186625988,4,online
1318,1299,0.019281667631695143,4,online
1319,1300,0.018753141943952167,4,online
1320,1301,0.01954133224729704,4,online
1321,1302,0.01773054194664636,4,online
1322,1303,0.01828827246603193,4,online
1323,1304,0.01643984851008462,4,online
1324,1305,0.017848112712619435,4,online
1325,1306,0.017054107618325487,4,online
1326,1307,0.01867137559581078,4,online
1327,1308,0.0184526334058448,4,online
1328,1309,0.018719337827669547,4,online
1329,1310,0.01880898993590685,4,online
1330,1311,0.0196842335979609,4,online
1331,1312,0.0191214697186185,4,online
1332,1313,0.01795224741708812,4,online
1333,1314,0.01787057785182944,4,online
1334,1315,0.017478575417436137,4,online
1335,1316,0.0182571906900707,4,online
1336,1317,0.01892613856534653,4,online
1337,1318,0.01975749309935848,4,online
1338,1319,0.020540128770289656,4,online
1339,1320,0.020572655250959637,4,online
1340,1321,0.02070676584654274,4,online
1341,1322,0.020576813271877215,4,online
1342,1323,0.019989043329991518,4,online
1343,1324,0.021218497766813837,4,online
1344,1325,0.021108063802382282,4,online
1345,1326,0.02169947474380518,4,online
1346,1327,0.020627615536445765,4,online
1347,1328,0.02083332268130056,4,online
1348,1329,0.02027400369335519,4,online
1349,1330,0.02026026928286928,4,online
1350,1331,0.020940429288775153,4,online
1351,1332,0.020241984536121915,4,online
1352,1333,0.020631153789602452,4,online
1353,1334,0.020946350534230995,4,online
1354,1335,0.021212339157598792,4,online
1355,1336,0.02143880248482699,4,online
1356,1337,0.025455717726409532,4,online
1357,1338,0.025442321563782788,4,online
1358,1339,0.02577622349621933,4,online
1359,1340,0.025912679469589528,4,online
1360,1341,0.026156669211417016,4,online
1361,1342,0.02599240095655675,4,online
1362,1343,0.02657876167175055,4,online
1363,1344,0.02620358790248989,4,online
1364,1345,0.02596765058435946,4,online
1365,1346,0.026349990253402567,4,online
1366,1347,0.029190090658134493,4,online
1367,1348,0.029714415293855212,4,online
1368,1349,0.031131588572268387,4,online
1369,1350,0.031224416329179494,4,online
1370,1351,0.029342731507801978,4,online
1371,1352,0.028864858332828147,4,online
1372,1353,0.029076357989511803,4,online
1373,1354,0.03183064807170377,4,online
1374,1355,0.031204560299971096,4,online
1375,1356,0.030709584416328428,4,online
1376,1357,0.026570543253051082,4,online
1377,1358,0.026607196224651464,4,online
1378,1359,0.026270123430431447,4,online
1379,1360,0.027493055766436236,4,online
1079,1060,0.02094764707519381,5,offline
1080,1061,0.021594782722381467,5,offline
1081,1062,0.016124136669480094,5,offline
1082,1063,0.016926544162070956,5,offline
1083,1064,0.017240273066781997,5,offline
1084,1065,0.018946518806567614,5,offline
1085,1066,0.020466937799973772,5,offline
1086,1067,0.021184542595381384,5,offline
1087,1068,0.02119234026611161,5,offline
1088,1069,0.021351934439082232,5,offline
1089,1070,0.021485666835806883,5,offline
1090,1071,0.02195827034597031,5,offline
1091,1072,0.02273758047709773,5,offline
1092,1073,0.02239396122356707,5,offline
1093,1074,0.02200187253615682,5,offline
1094,1075,0.021716081387456843,5,offline
1095,1076,0.02165350465228244,5,offline
1096,1077,0.022028293307701508,5,offline
1097,1078,0.02252675359601497,5,offline
1098,1079,0.022814811528023338,5,offline
1099,1080,0.022194033272410763,5,offline
1100,1081,0.021588431869088986,5,offline
1101,1082,0.020942009581419452,5,offline
1102,1083,0.019565881922194217,5,offline
1103,1084,0.020441049596097938,5,offline
1104,1085,0.022552455423915485,5,offline
1105,1086,0.022449340818038177,5,offline
1106,1087,0.02139334441171048,5,offline
1107,1088,0.021328016536209193,5,offline
1108,1089,0.020533630612618592,5,offline
1109,1090,0.020098597930406248,5,offline
1110,1091,0.02020781777812375,5,offline
1111,1092,0.01971935028773042,5,offline
1112,1093,0.020349503811891267,5,offline
1113,1094,0.02126727899088232,5,offline
1114,1095,0.02065092765671972,5,offline
1115,1096,0.020250059054078506,5,offline
1116,1097,0.020248937904792208,5,offline
1117,1098,0.01963848544600022,5,offline
1118,1099,0.01942158227942936,5,offline
1119,1100,0.019445060600306707,5,offline
1120,1101,0.01887369829505603,5,offline
1121,1102,0.018875435087051917,5,offline
1122,1103,0.019999711224906402,5,offline
