trial,start_date,end_date,days,r2,delta_r2,sse,denominator,rows
frozen,1320,1339,20,0.016148154437020668,0.0,1084456.3755427313,1102255.771977725,747296
lr_1e-4_persistent,1320,1339,20,0.021972211109827833,0.005824056672807165,1078036.775458804,1102255.771977725,747296
lr_1e-5_persistent,1320,1339,20,0.01893066349642858,0.0027825090594079116,1081389.3388714185,1102255.771977725,747296
lr_3e-5_persistent,1320,1339,20,0.020509671257961104,0.0043615168209404365,1079648.8684522717,1102255.771977725,747296
lr_5e-5_persistent,1320,1339,20,0.0213060526198231,0.005157898182802434,1078771.0524994638,1102255.771977725,747296
lr_2e-4_persistent,1320,1339,20,0.02067839094205881,0.004530236505038143,1079462.8962066288,1102255.771977725,747296
frozen,1340,1359,20,0.018842924418469575,0.0,793842.245856862,809087.8266218004,754072
lr_1e-4_persistent,1340,1359,20,0.026983948340003505,0.00814102392153393,787255.442505712,809087.8266218004,754072
lr_1e-5_persistent,1340,1359,20,0.023020182434045244,0.004177258015575669,790462.4772478014,809087.8266218004,754072
lr_3e-5_persistent,1340,1359,20,0.025237097334522285,0.006394172916052709,788668.7983891689,809087.8266218004,754072
lr_5e-5_persistent,1340,1359,20,0.026107148699076932,0.0072642242806073565,787964.8504215721,809087.8266218004,754072
lr_2e-4_persistent,1340,1359,20,0.025787750468957094,0.006944826050487518,788223.2716414066,809087.8266218004,754072
frozen,1360,1379,20,0.02123698092531745,0.0,1336100.8678909012,1365091.2854819994,746328
lr_1e-4_persistent,1360,1379,20,0.02863748255987264,0.00740050163455519,1325998.5076013745,1365091.2854819994,746328
lr_1e-5_persistent,1360,1379,20,0.026043095046316744,0.004806114120999294,1329540.083387293,1365091.2854819994,746328
lr_3e-5_persistent,1360,1379,20,0.028506073967483725,0.007269093042166275,1326177.892325682,1365091.2854819994,746328
lr_5e-5_persistent,1360,1379,20,0.029068889041346857,0.007831908116029407,1325409.5983730135,1365091.2854819994,746328
lr_2e-4_persistent,1360,1379,20,0.026593829980094852,0.005356849054777402,1328788.279928582,1365091.2854819994,746328
