date_id,window_start,r2,mode
1530,1511,0.018494451160053216,frozen
1531,1512,0.018472745504329424,frozen
1532,1513,0.018754094225016837,frozen
1533,1514,0.018955478719382857,frozen
1534,1515,0.0186689743527243,frozen
1535,1516,0.018639965787242807,frozen
1536,1517,0.01842340963411493,frozen
1537,1518,0.021020926663264827,frozen
1538,1519,0.019825017442411608,frozen
1539,1520,0.017257530914326802,frozen
1540,1521,0.017934989635146725,frozen
1541,1522,0.019192851789398224,frozen
1542,1523,0.0188738943295087,frozen
1543,1524,0.01781478536164882,frozen
1544,1525,0.0181398821563048,frozen
1545,1526,0.017698665884137932,frozen
1546,1527,0.017034817477358688,frozen
1547,1528,0.016514018140842412,frozen
1548,1529,0.016127535298831264,frozen
1549,1530,0.015480579764964641,frozen
1550,1531,0.015134802491155286,frozen
1551,1532,0.014998751428003665,frozen
1552,1533,0.016848779224488575,frozen
1553,1534,0.016843807231069263,frozen
1554,1535,0.016740156247073035,frozen
1555,1536,0.01678645530322309,frozen
1556,1537,0.017347145625252525,frozen
1557,1538,0.015440795856156875,frozen
1558,1539,0.017441879453051423,frozen
1559,1540,0.012556545713048428,frozen
1560,1541,0.012860293573759174,frozen
1561,1542,0.012443856594993252,frozen
1562,1543,0.012457836767186925,frozen
1563,1544,0.012467819291196336,frozen
1564,1545,0.01205511980047591,frozen
1565,1546,0.012557890864925092,frozen
1566,1547,0.013124458072684364,frozen
1567,1548,0.013206530278430328,frozen
1568,1549,0.01383779707511923,frozen
1569,1550,0.01354237374552103,frozen
1570,1551,0.013401459378518554,frozen
1571,1552,0.013352296175566991,frozen
1572,1553,0.012032477940018604,frozen
1573,1554,0.012167302187123141,frozen
1574,1555,0.01287673442715398,frozen
1575,1556,0.013005419625958692,frozen
1576,1557,0.012559131983080563,frozen
1577,1558,0.014215626380417623,frozen
1578,1559,0.012859822720096559,frozen
1579,1560,0.017852932861570525,frozen
1580,1561,0.017033567933648963,frozen
1581,1562,0.01786131993921658,frozen
1582,1563,0.017791660299281142,frozen
1583,1564,0.018230379324828183,frozen
1584,1565,0.01835252428632339,frozen
1585,1566,0.01916470547863336,frozen
1586,1567,0.018410676824854977,frozen
1587,1568,0.018842562411646724,frozen
1588,1569,0.017687308183393147,frozen
1589,1570,0.01886133618971808,frozen
1590,1571,0.021044596735379617,frozen
1591,1572,0.02138062537862362,frozen
1592,1573,0.02099825365586372,frozen
1593,1574,0.020334450857117936,frozen
1594,1575,0.02199908129657613,frozen
1595,1576,0.022340969933462462,frozen
1596,1577,0.02639136061364966,frozen
1597,1578,0.02458291448437322,frozen
1598,1579,0.02505350182665278,frozen
1599,1580,0.02468233866740921,frozen
1600,1581,0.02493604452833076,frozen
1601,1582,0.024242323407345556,frozen
1602,1583,0.024164716283013865,frozen
1603,1584,0.023807547456611955,frozen
1604,1585,0.023863112173775347,frozen
1605,1586,0.022641118251097492,frozen
1606,1587,0.022704200800365282,frozen
1607,1588,0.02226431134037532,frozen
1608,1589,0.02237910900285056,frozen
1609,1590,0.02196273587433417,frozen
1610,1591,0.020678274261260232,frozen
1611,1592,0.01992638186962392,frozen
1612,1593,0.019943835574534385,frozen
1613,1594,0.020474649052842686,frozen
1614,1595,0.018565308673787806,frozen
1615,1596,0.018105332304935717,frozen
